ticker,annee,trimestre,norme_comptable,total_actif,capitaux_propres_pg,dettes_financieres_lt,dettes_financieres_ct,tresorerie_nette,creances_clients,chiffre_d_affaires_pnb,resultat_brut_exploitation,resultat_net_pg,cout_du_risque,dotations_amortissements,flux_tresorerie_operationnel,capex,nombre_actions_circulation,dividende_par_action,prix_cloture
TQM,2023,T4,IFRS,22150,6437,8450,900,1620,2750,13250,3680,1037,0,835,2450,290,23590224,35.00,1210.00
TQM,2023,T2,IFRS,22300,6310,8750,885,1580,2820,6015,1780,455,0,412,1180,135,23590224,N/A,1150.00
TQM,2022,T4,IFRS,22534,6226,9090,875,1524,2884,13604,3725,1303,0,812,2261,242,23590224,35.00,1115.00
TQM,2022,T2,IFRS,21200,5950,9350,850,1540,2350,6040,1650,510,0,405,1050,115,23590224,N/A,1080.00
TQM,2021,T4,IFRS,19395,5749,9634,0,1553,1763,7812,3243,1005,0,812,1965,213,23590224,35.00,1140.00
TQM,2021,T2,IFRS,18950,5520,10100,120,1420,1650,3450,1480,415,0,405,980,95,23590224,N/A,1050.00
TQM,2020,T4,IFRS,18450,5310,10450,250,1250,1580,7780,3120,810,0,795,1820,380,23590224,33.00,1020.00
TQM,2020,T2,IFRS,18720,5280,10750,280,1280,1610,3850,1520,395,0,390,920,185,23590224,N/A,980.00
TQM,2019,T4,IFRS,18950,5220,11100,320,1320,1640,9120,3450,1055,0,785,2050,420,23590224,33.00,1090.00
TQM,2019,T2,IFRS,19200,5150,11400,350,1250,1680,4550,1710,480,0,390,1010,215,23590224,N/A,1050.00
TQM,2018,T4,IFRS,19400,5080,11600,410,1180,1720,9050,3380,965,0,770,1980,460,23590224,33.00,1130.00
TQM,2017,T4,IFRS,19850,4850,12200,450,1050,1650,8850,3250,915,0,755,1850,420,23590224,30.00,890.00
TQM,2016,T4,IFRS,20150,4520,13100,520,950,1580,8150,2950,855,0,740,1720,380,23590224,25.00,750.00
TQM,2015,T4,IFRS,20800,4210,14200,580,820,1450,8920,3120,832,0,730,1680,350,23590224,20.00,540.00
TQM,2014,T4,IFRS,21200,3850,15500,650,750,1320,7450,2650,710,0,715,1450,310,23590224,15.00,420.00
TGCC,2025,T2,IFRS,7850,2850,1150,680,-820,3850,4120,580,255,0,135,450,95,31639850,N/A,445.00
TGCC,2025,T1,IFRS,N/A,N/A,1250,710,-910,3650,1950,N/A,N/A,0,N/A,N/A,N/A,31639850,N/A,425.00
