"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2022","13,071.04","13,883.49","14,012.64","12,899.88","","-5.85%"
"01/01/2022","13,883.49","13,358.32","13,887.85","13,269.36","","3.93%"
"12/01/2021","13,358.32","13,085.38","13,425.50","13,085.38","","2.09%"
"11/01/2021","13,085.38","13,555.45","13,667.12","13,041.59","","-3.47%"
"10/01/2021","13,555.45","13,186.83","13,650.09","13,046.16","","2.80%"
"09/01/2021","13,186.83","12,694.16","13,209.65","12,667.17","","3.88%"
"08/01/2021","12,694.16","12,304.15","12,791.93","12,304.15","","3.17%"
"07/01/2021","12,304.15","12,408.76","12,446.31","12,137.50","","-0.85%"
"06/01/2021","12,409.24","12,114.46","12,578.76","12,105.33","","2.43%"
"05/01/2021","12,114.46","11,784.63","12,260.05","11,784.63","","2.57%"
"04/01/2021","11,811.23","11,483.65","11,815.43","11,474.19","","2.85%"
"03/01/2021","11,483.65","11,358.17","11,583.28","11,309.91","","1.10%"
"02/01/2021","11,358.17","11,630.01","11,794.76","11,224.00","","-2.34%"
"01/01/2021","11,630.01","11,287.38","11,729.33","11,210.15","","3.04%"
"12/01/2020","11,287.38","10,990.85","11,595.16","10,939.68","","2.70%"
"11/01/2020","10,990.85","10,460.66","11,119.01","10,342.27","","5.07%"
"10/01/2020","10,460.66","9,985.48","10,489.55","9,985.45","","4.73%"
"09/01/2020","9,987.83","10,134.80","10,324.98","9,936.48","","-1.45%"
"08/01/2020","10,134.80","10,149.14","10,330.27","10,059.70","","-0.91%"
"07/01/2020","10,228.27","10,169.19","10,296.84","10,119.56","","0.58%"
"06/01/2020","10,169.19","9,852.80","10,636.51","9,852.80","","3.21%"
"05/01/2020","9,852.80","9,400.70","9,978.92","9,203.20","","4.81%"
"04/01/2020","9,400.70","9,704.85","9,717.96","8,993.23","","-3.13%"
"03/01/2020","9,704.85","12,260.94","12,268.94","8,916.12","","-20.85%"
"02/01/2020","12,260.94","12,531.90","12,531.90","11,997.78","","-2.16%"
"01/01/2020","12,531.90","12,171.90","12,655.84","12,076.77","","2.96%"
"12/01/2019","12,171.90","11,822.32","12,301.79","11,685.80","","2.96%"
"11/01/2019","11,822.32","11,484.30","11,840.80","11,473.51","","2.94%"
"10/01/2019","11,484.30","11,561.68","11,574.87","11,307.35","","-0.67%"
"09/01/2019","11,561.68","11,710.94","11,738.51","11,420.21","","-1.27%"
"08/01/2019","11,710.94","11,616.49","11,796.26","11,526.31","","0.81%"
"07/01/2019","11,616.49","11,286.18","11,616.49","11,100.48","","2.92%"
"06/01/2019","11,287.04","10,999.88","11,552.13","10,926.80","","2.61%"
"05/01/2019","10,999.88","11,192.06","11,430.08","10,999.88","","-1.72%"
"04/01/2019","11,192.06","10,912.23","11,201.92","10,882.38","","2.56%"
"03/01/2019","10,912.23","11,136.57","11,206.61","10,910.98","","-2.01%"
"02/01/2019","11,136.57","11,350.73","11,509.40","11,124.34","","-1.89%"
"01/01/2019","11,350.73","11,364.31","11,452.61","11,036.36","","-0.12%"
"12/01/2018","11,364.31","11,229.28","11,368.06","11,120.13","","1.20%"
"11/01/2018","11,229.28","10,919.67","11,316.03","10,874.77","","2.84%"
