"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2017","11,693.71","11,615.28","11,797.06","11,574.47","","0.68%"
"05/28/2017","11,615.28","11,585.51","11,615.28","11,495.46","","0.20%"
"05/21/2017","11,592.31","11,683.62","11,692.09","11,493.70","","-0.78%"
"05/14/2017","11,683.62","11,747.86","11,757.00","11,589.98","","-0.55%"
"05/07/2017","11,747.86","11,743.86","11,785.90","11,686.14","","0.03%"
"04/30/2017","11,743.86","11,637.93","11,879.09","11,621.72","","0.91%"
"04/23/2017","11,637.93","11,330.12","11,644.51","11,325.67","","2.72%"
"04/16/2017","11,330.12","11,222.64","11,355.58","11,210.12","","0.96%"
"04/09/2017","11,222.64","11,319.54","11,403.93","11,222.64","","-0.86%"
"04/02/2017","11,319.54","11,379.71","11,465.73","11,250.61","","-0.53%"
"03/26/2017","11,379.71","11,502.71","11,645.72","11,338.27","","-1.07%"
"03/19/2017","11,502.71","11,929.65","12,030.60","11,445.93","","-3.58%"
"03/12/2017","11,929.65","11,935.03","12,044.54","11,865.96","","-0.05%"
"03/05/2017","11,935.03","11,947.43","12,016.92","11,855.25","","-0.10%"
"02/26/2017","11,947.43","11,777.37","11,992.49","11,777.37","","1.44%"
"02/19/2017","11,777.37","12,165.07","12,246.85","11,692.21","","-3.19%"
"02/12/2017","12,165.07","12,233.88","12,370.33","12,165.07","","-0.56%"
"02/05/2017","12,233.88","12,228.99","12,329.28","12,114.96","","0.04%"
"01/29/2017","12,228.99","12,507.99","12,534.82","12,137.77","","-2.23%"
"01/22/2017","12,507.99","12,592.53","12,592.53","12,389.32","","-0.67%"
"01/15/2017","12,592.53","12,722.60","12,722.60","12,239.18","","-1.02%"
"01/08/2017","12,722.60","12,532.22","12,950.84","12,526.27","","1.19%"
"01/01/2017","12,572.94","11,644.22","12,904.99","11,518.44","","7.98%"
"12/25/2016","11,644.22","11,927.19","11,930.94","11,498.48","","-2.37%"
"12/18/2016","11,927.19","11,304.83","11,929.28","11,167.30","","5.51%"
"12/11/2016","11,304.83","10,957.24","11,304.83","10,932.18","","3.17%"
"12/04/2016","10,957.24","10,621.99","10,957.24","10,613.17","","3.16%"
