"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2023","839.00","839.73","840.92","836.84","","-0.09%"
"04/07/2023","839.73","837.63","842.58","837.63","","0.25%"
"04/06/2023","837.63","840.43","842.83","837.63","","-0.33%"
"04/05/2023","840.43","839.33","841.88","837.08","","0.13%"
"04/04/2023","839.33","839.53","841.95","837.93","","-0.02%"
"04/03/2023","839.53","832.06","840.15","832.00","","0.90%"
"03/31/2023","832.06","839.23","842.62","832.06","","-0.85%"
"03/30/2023","839.23","842.24","844.83","838.78","","-0.36%"
"03/29/2023","842.24","841.52","846.34","840.40","","0.09%"
"03/28/2023","841.52","839.94","843.17","834.35","","0.19%"
"03/27/2023","839.94","831.40","839.94","829.07","","1.03%"
"03/24/2023","831.40","838.99","839.97","831.40","","-0.90%"
"03/23/2023","838.99","837.63","842.59","837.18","","0.16%"
"03/22/2023","837.63","824.61","837.63","824.61","","1.58%"
"03/21/2023","824.61","836.05","836.05","824.35","","-1.37%"
"03/20/2023","836.05","832.97","839.42","832.97","","0.37%"
"03/17/2023","832.97","840.97","843.55","832.62","","-0.95%"
"03/16/2023","840.97","838.61","842.79","838.60","","0.28%"
"03/15/2023","838.61","844.50","846.16","836.81","","-0.70%"
"03/14/2023","844.50","844.81","846.28","840.29","","-0.04%"
"03/13/2023","844.81","843.56","847.42","839.90","","0.15%"
"03/10/2023","843.56","843.76","845.73","841.21","","-0.02%"
"03/09/2023","843.76","846.25","849.87","842.44","","-0.29%"
"03/08/2023","846.25","847.44","851.08","846.02","","-0.14%"
"03/07/2023","847.44","851.60","852.30","846.76","","-0.49%"
"03/06/2023","851.60","858.07","860.92","851.60","","-0.75%"
"03/03/2023","858.07","862.52","864.36","852.78","","-0.52%"
"03/02/2023","862.52","870.10","872.62","862.52","","-0.87%"
"03/01/2023","870.10","874.86","880.69","870.04","","-0.54%"
"02/28/2023","874.86","869.43","876.60","868.47","","0.62%"
"02/27/2023","869.43","871.08","876.19","868.99","","-0.19%"
"02/24/2023","871.08","854.34","871.46","854.13","","1.96%"
"02/23/2023","854.34","849.56","857.00","847.41","","0.56%"
"02/22/2023","849.56","843.95","851.27","839.63","","0.66%"
"02/21/2023","843.95","857.73","858.02","843.95","","-1.61%"
"02/20/2023","857.73","857.58","861.01","855.32","","0.02%"
"02/17/2023","857.58","848.90","860.70","846.22","","1.02%"
"02/16/2023","848.90","848.06","852.65","847.41","","0.10%"
"02/15/2023","848.06","844.81","850.62","841.85","","0.38%"
"02/14/2023","844.81","857.13","860.94","844.81","","-1.44%"
"02/13/2023","857.13","864.23","866.78","857.07","","-0.82%"
"02/10/2023","864.23","865.69","868.83","864.23","","-0.17%"
"02/09/2023","865.69","860.11","869.08","858.06","","0.65%"
"02/08/2023","860.11","842.61","860.12","837.40","","2.08%"
"02/07/2023","842.61","830.06","844.98","830.06","","1.51%"
"02/06/2023","830.06","832.05","839.92","826.64","","-0.24%"
"02/03/2023","832.05","832.88","835.35","831.77","","-0.10%"
"02/02/2023","832.88","818.49","832.88","818.06","","1.76%"
"02/01/2023","818.49","825.61","826.69","818.49","","-0.86%"
"01/31/2023","825.61","809.70","825.61","809.42","","1.96%"
"01/30/2023","809.70","806.70","814.30","803.78","","0.37%"
"01/27/2023","806.70","808.34","820.65","806.61","","-0.20%"
"01/26/2023","808.34","825.23","829.53","808.34","","-2.05%"
"01/25/2023","825.23","818.74","827.90","818.74","","0.79%"
"01/24/2023","818.74","825.11","827.74","818.74","","-0.77%"
