"Date","Price","Open","High","Low","Vol.","Change %"
"11/03/2019","144.00","143.50","144.20","143.00","173.29K","0.31%"
"10/27/2019","143.55","143.15","143.85","142.30","733.63K","0.03%"
"10/20/2019","143.50","143.00","144.85","142.00","622.39K","0.35%"
"10/13/2019","143.00","140.60","143.50","140.50","502.31K","1.67%"
"10/06/2019","140.65","141.50","141.75","140.30","892.31K","-0.78%"
"09/29/2019","141.75","141.30","142.50","141.00","706.97K","0.32%"
"09/22/2019","141.30","140.10","142.00","139.20","521.53K","0.57%"
"09/15/2019","140.50","142.50","143.00","140.00","733.80K","-1.82%"
"09/08/2019","143.10","143.00","143.50","141.80","621.01K","-0.28%"
"09/01/2019","143.50","144.80","145.40","143.05","261.31K","-1.14%"
"08/25/2019","145.15","145.00","146.50","144.50","548.66K","-0.07%"
"08/18/2019","145.25","144.00","145.40","144.00","407.59K","0.55%"
"08/11/2019","144.45","143.55","144.45","143.55","121.77K","0.63%"
"08/04/2019","143.55","144.60","144.60","143.00","316.45K","-1.00%"
"07/28/2019","145.00","143.05","145.00","143.05","675.39K","1.33%"
"07/21/2019","143.10","141.50","143.20","141.25","1.02M","0.85%"
"07/14/2019","141.90","139.45","143.05","139.45","2.82M","1.79%"
"07/07/2019","139.40","137.50","140.40","135.50","2.22M","1.01%"
"06/30/2019","138.00","139.00","139.85","137.30","246.88K","-0.72%"
"06/23/2019","139.00","141.50","143.00","138.10","506.29K","-2.11%"
"06/16/2019","142.00","132.90","145.00","132.90","4.30M","6.85%"
"06/09/2019","132.90","130.00","133.00","129.55","401.90K","-2.10%"
"05/26/2019","135.75","137.10","140.00","135.75","624.57K","-0.91%"
"05/19/2019","137.00","148.50","148.50","137.00","1.45M","-7.43%"
"05/12/2019","148.00","147.00","150.00","146.85","443.29K","0.54%"
"05/05/2019","147.20","146.00","147.25","146.00","384.96K","0.55%"
"04/28/2019","146.40","146.60","146.95","146.00","136.46K","-0.37%"
"04/21/2019","146.95","146.50","147.00","145.50","453.29K","0.31%"
"04/14/2019","146.50","147.00","147.00","146.10","149.10K","-0.03%"
"04/07/2019","146.55","145.55","147.00","145.50","72.11K","1.07%"
"03/31/2019","145.00","146.85","147.00","143.60","211.17K","1.05%"
"03/24/2019","143.50","145.10","148.00","143.50","332.87K","-1.37%"
"03/17/2019","145.50","145.30","149.40","143.20","323.55K","-0.03%"
"03/10/2019","145.55","147.00","149.50","145.55","231.90K","-0.99%"
"03/03/2019","147.00","147.70","149.90","147.00","158.38K","-0.47%"
"02/24/2019","147.70","150.80","151.80","147.55","402.41K","-2.06%"
"02/17/2019","150.80","152.20","154.00","150.80","335.16K","-0.13%"
"02/10/2019","151.00","151.00","155.45","150.00","552.39K","-0.03%"
"02/03/2019","151.05","149.15","151.05","149.15","285.12K","1.04%"
"01/27/2019","149.50","149.00","155.00","148.65","959.46K","0.34%"
"01/20/2019","149.00","147.95","149.90","147.00","628.20K","1.26%"
"01/13/2019","147.15","142.10","148.00","142.00","432.90K","3.34%"
"01/06/2019","142.40","141.30","142.55","141.30","279.65K","0.56%"
"12/30/2018","141.60","140.55","141.60","140.55","215.16K","0.75%"
"12/23/2018","140.55","140.15","141.50","140.05","1.66M","0.11%"
"12/16/2018","140.40","141.00","141.50","140.40","495.92K","-0.43%"
"12/09/2018","141.00","140.50","141.35","139.80","696.70K","0.25%"
"12/02/2018","140.65","140.00","141.35","139.80","575.07K","0.11%"
"11/25/2018","140.50","138.60","140.70","138.60","534.32K","1.37%"
"11/18/2018","138.60","139.00","139.90","138.40","52.48K","-0.36%"
"11/11/2018","139.10","139.80","140.00","139.00","160.15K","-0.64%"
"11/04/2018","140.00","140.00","140.90","138.45","66.70K","0.72%"
"10/28/2018","139.00","141.50","141.80","138.00","581.52K","-1.91%"
"10/21/2018","141.70","144.20","145.40","141.70","1.88M","-1.56%"
"10/14/2018","143.95","142.50","144.00","142.50","783.99K","0.98%"
"10/07/2018","142.55","143.50","143.50","142.50","242.50K","-1.01%"
"09/30/2018","144.00","142.50","144.90","142.00","363.59K","0.98%"
"09/23/2018","142.60","141.20","143.00","141.00","1.02M","1.10%"
"09/16/2018","141.05","139.50","141.05","139.40","390.43K","0.97%"
"09/09/2018","139.70","139.10","140.00","139.00","140.85K","0.36%"
"09/02/2018","139.20","141.60","141.60","138.50","755.99K","-1.76%"
"08/26/2018","141.70","141.95","143.50","141.70","364.65K","-0.18%"
"08/19/2018","141.95","142.00","142.00","141.70","97.76K","-0.04%"
"08/12/2018","142.00","142.00","142.50","140.50","224.08K","0.00%"
"08/05/2018","142.00","142.20","143.25","141.50","154.11K","-0.35%"
"07/29/2018","142.50","142.75","143.25","141.00","205.29K","-0.18%"
"07/22/2018","142.75","137.30","143.55","137.30","290.55K","4.73%"
"07/15/2018","136.30","137.90","137.90","136.00","294.31K","-0.33%"
"07/08/2018","136.75","138.00","139.00","136.75","640.36K","-0.69%"
"07/01/2018","137.70","138.50","139.95","137.25","423.28K","-0.58%"
"06/24/2018","138.50","142.00","143.95","138.50","785.96K","-3.05%"
"06/17/2018","142.85","144.50","145.70","142.75","260.98K","-1.48%"
"06/10/2018","145.00","146.00","147.50","144.00","288.86K","-0.68%"
"06/03/2018","146.00","144.00","147.00","143.50","297.92K","1.99%"
"05/27/2018","143.15","141.50","144.00","141.05","651.51K","1.09%"
"05/20/2018","141.60","150.00","151.00","141.00","2.05M","-5.91%"
"05/13/2018","150.50","154.75","154.75","150.50","421.88K","-2.81%"
"05/06/2018","154.85","155.25","156.40","153.50","192.69K","-0.42%"
"04/29/2018","155.50","154.45","157.90","154.25","186.51K","0.71%"
"04/22/2018","154.40","152.05","154.50","152.05","309.04K","1.51%"
"04/15/2018","152.10","149.65","152.10","149.50","206.07K","1.74%"
"04/08/2018","149.50","148.50","149.50","148.05","296.48K","0.40%"
"04/01/2018","148.90","149.00","149.00","147.50","252.94K","0.10%"
"03/25/2018","148.75","148.60","149.20","148.25","252.82K","-0.17%"
"03/18/2018","149.00","150.50","150.80","143.00","692.80K","-1.00%"
"03/11/2018","150.50","152.00","152.45","150.50","245.22K","-0.69%"
"03/04/2018","151.55","150.25","152.00","150.00","738.35K","0.70%"
"02/25/2018","150.50","149.95","152.00","148.55","1.86M","1.01%"
"02/18/2018","149.00","148.80","151.00","148.15","804.76K","1.33%"
"02/11/2018","147.05","146.00","147.45","145.00","148.08K","0.72%"
"02/04/2018","146.00","149.00","149.90","144.50","567.72K","-2.34%"
"01/28/2018","149.50","147.05","151.00","147.05","280.47K","1.63%"
"01/21/2018","147.10","148.00","148.50","146.85","270.86K","-0.88%"
"01/14/2018","148.40","139.75","151.25","139.75","1.23M","6.00%"
"01/07/2018","140.00","140.95","140.95","139.25","208.77K","-0.36%"
"12/31/2017","140.50","136.40","141.00","136.00","260.32K","4.85%"
"12/24/2017","134.00","136.45","137.95","134.00","1.21M","-1.36%"
"12/17/2017","135.85","137.00","137.00","135.00","422.69K","-0.84%"
"12/10/2017","137.00","136.05","137.95","135.90","469.40K","0.70%"
"12/03/2017","136.05","137.80","137.80","135.75","412.26K","-0.91%"
"11/26/2017","137.30","138.60","139.00","137.00","473.53K","-1.05%"
"11/19/2017","138.75","139.10","139.95","138.20","315.25K","-0.54%"
"11/12/2017","139.50","139.90","142.00","138.50","207.24K","-0.29%"
"11/05/2017","139.90","136.90","139.90","136.55","486.85K","2.15%"
"10/29/2017","136.95","136.00","136.95","135.30","526.71K","0.92%"
"10/22/2017","135.70","136.25","136.25","135.50","208.58K","-0.07%"
"10/15/2017","135.80","137.50","137.50","135.80","345.97K","-1.38%"
"10/08/2017","137.70","137.05","137.70","137.05","182.64K","0.40%"
"10/01/2017","137.15","137.10","139.00","137.00","521.98K","0.04%"
"09/24/2017","137.10","138.20","138.25","137.10","425.74K","-0.80%"
"09/17/2017","138.20","140.00","140.00","138.10","125.29K","-1.07%"
"09/10/2017","139.70","137.50","140.50","137.50","723.92K","1.49%"
"09/03/2017","137.65","137.60","137.90","137.05","218.05K","-0.07%"
"08/27/2017","137.75","137.60","138.00","137.10","183.26K","0.55%"
"08/20/2017","137.00","135.50","137.00","135.50","116.24K","0.37%"
"08/13/2017","136.50","136.50","136.50","135.50","122.15K","-0.36%"
"08/06/2017","137.00","135.50","137.25","135.25","209.22K","1.22%"
"07/30/2017","135.35","137.35","137.40","135.20","565.79K","-1.49%"
"07/23/2017","137.40","136.90","138.00","136.30","448.49K","0.81%"
"07/16/2017","136.30","139.95","139.95","136.00","538.53K","-2.29%"
"07/09/2017","139.50","139.60","140.00","139.20","676.17K","-0.32%"
"07/02/2017","139.95","140.25","141.00","139.10","473.02K","-0.36%"
"06/25/2017","140.45","140.55","143.00","140.45","506.56K","-0.07%"
"06/18/2017","140.55","136.50","140.90","136.50","953.14K","2.97%"
"06/11/2017","136.50","135.00","136.50","134.80","650.55K","1.26%"
"06/04/2017","134.80","133.00","135.50","132.50","1.01M","1.43%"
"05/28/2017","132.90","131.75","132.90","130.80","525.54K","0.87%"
"05/21/2017","131.75","138.40","138.90","129.10","1.33M","-4.80%"
"05/14/2017","138.40","140.00","140.00","138.40","257.02K","-1.14%"
"05/07/2017","140.00","139.00","140.50","138.65","654.64K","0.72%"
"04/30/2017","139.00","138.50","139.40","138.10","519.92K","0.25%"
"04/23/2017","138.65","136.30","139.50","136.00","403.02K","1.72%"
"04/16/2017","136.30","134.00","137.00","134.00","351.77K","1.49%"
"04/09/2017","134.30","136.20","137.00","134.00","638.40K","-0.56%"
"04/02/2017","135.05","137.30","137.50","135.00","199.96K","-1.64%"
"03/26/2017","137.30","136.75","139.35","136.45","158.21K","0.29%"
"03/19/2017","136.90","140.10","141.90","136.90","238.29K","-2.39%"
"03/12/2017","140.25","143.00","146.00","140.00","456.74K","-1.99%"
"03/05/2017","143.10","144.70","144.80","142.10","121.71K","-0.28%"
"02/26/2017","143.50","143.00","146.95","141.00","633.20K","2.50%"
"02/19/2017","140.00","145.90","147.45","138.65","831.90K","-4.18%"
"02/12/2017","146.10","146.25","148.70","146.00","327.93K","-0.61%"
"02/05/2017","147.00","147.80","149.00","145.80","547.05K","-0.68%"
"01/29/2017","148.00","152.20","154.80","148.00","989.16K","-3.90%"
"01/22/2017","154.00","156.90","156.90","151.75","336.82K","-1.82%"
"01/15/2017","156.85","151.55","156.85","151.55","549.14K","1.19%"
"01/08/2017","155.00","150.50","160.50","150.50","1.09M","3.33%"
"01/01/2017","150.00","140.05","162.50","140.00","1.84M","5.63%"
"12/25/2016","142.00","146.15","147.95","142.00","1.03M","-5.02%"
"12/18/2016","149.50","143.00","151.40","140.05","1.33M","4.11%"
"12/11/2016","143.60","139.00","144.00","138.40","316.73K","3.31%"
"12/04/2016","139.00","134.45","139.00","133.85","264.34K","3.73%"
"11/27/2016","134.00","133.40","134.40","133.25","302.87K","0.45%"
"11/20/2016","133.40","133.70","134.45","132.40","266.94K","0.00%"
"11/13/2016","133.40","133.00","134.05","133.00","247.15K","0.30%"
"11/06/2016","133.00","134.90","137.50","132.50","716.32K","-0.89%"
"10/30/2016","134.20","133.00","134.95","133.00","361.23K","0.86%"
"10/23/2016","133.05","131.30","133.90","131.30","256.94K","1.18%"
"10/16/2016","131.50","131.10","132.00","131.00","224.07K","0.23%"
"10/09/2016","131.20","129.15","132.00","129.15","467.55K","1.59%"
"10/02/2016","129.15","127.55","129.15","127.25","339.84K","1.25%"
"09/25/2016","127.55","127.25","127.95","126.65","291.08K","0.04%"
"09/18/2016","127.50","127.50","127.75","127.00","142.84K","0.20%"
"09/11/2016","127.25","128.10","128.10","127.10","205.18K","-0.62%"
"09/04/2016","128.05","127.30","128.30","126.45","202.99K","1.03%"
"08/28/2016","126.75","127.40","127.40","126.25","414.90K","-0.43%"
"08/21/2016","127.30","127.25","127.50","126.50","132.75K","-0.16%"
"08/14/2016","127.50","129.00","129.50","127.50","252.83K","-1.16%"
"08/07/2016","129.00","129.50","129.75","129.00","120.69K","-0.39%"
"07/31/2016","129.50","127.40","129.50","127.00","341.79K","1.77%"
"07/24/2016","127.25","126.00","127.40","126.00","369.56K","0.99%"
"07/17/2016","126.00","125.80","126.50","125.50","211.38K","0.20%"
"07/10/2016","125.75","121.70","127.05","121.50","1.02M","3.33%"
"07/03/2016","121.70","119.50","121.70","119.50","18.19K","1.42%"
"06/26/2016","120.00","121.00","121.00","118.75","354.17K","-0.99%"
"06/19/2016","121.20","121.55","122.00","121.00","264.04K","-0.29%"
