"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2020","148.60","142.00","151.40","137.80","5.57M","-4.44%"
"01/01/2020","155.50","152.90","158.50","152.80","4.40M","1.63%"
"12/01/2019","153.00","149.20","156.20","146.60","6.12M","2.07%"
"11/01/2019","149.90","142.80","150.95","142.80","3.20M","4.46%"
"10/01/2019","143.50","141.50","144.85","140.30","3.15M","1.06%"
"09/01/2019","142.00","144.80","145.40","139.20","2.32M","-2.17%"
"08/01/2019","145.15","144.10","146.50","143.00","1.73M","0.28%"
"07/01/2019","144.75","139.00","144.75","135.50","6.64M","4.14%"
"06/01/2019","139.00","130.00","145.00","129.55","5.21M","2.39%"
"05/01/2019","135.75","146.10","150.00","135.75","2.93M","-7.34%"
"04/01/2019","146.50","146.85","147.00","143.60","990.58K","2.09%"
"03/01/2019","143.50","148.05","149.90","143.20","1.11M","-2.74%"
"02/01/2019","147.55","148.80","155.45","147.55","1.67M","-0.74%"
"01/01/2019","148.65","141.05","155.00","141.00","2.32M","5.05%"
"12/01/2018","141.50","140.00","141.50","139.80","3.47M","0.71%"
"11/01/2018","140.50","138.20","140.90","138.10","901.85K","1.66%"
"10/01/2018","138.20","142.50","145.40","138.00","3.76M","-3.09%"
"09/01/2018","142.60","141.60","143.00","138.50","2.31M","0.64%"
"08/01/2018","141.70","142.35","143.50","140.50","952.77K","-0.42%"
"07/01/2018","142.30","138.50","143.55","136.00","1.74M","2.74%"
"06/01/2018","138.50","143.20","147.50","138.50","1.74M","-3.21%"
"05/01/2018","143.10","157.80","157.80","141.00","3.33M","-9.37%"
"04/01/2018","157.90","149.00","157.90","147.50","1.14M","6.15%"
"03/01/2018","148.75","148.65","152.45","143.00","2.19M","0.13%"
"02/01/2018","148.55","147.65","152.00","144.50","3.31M","0.58%"
"01/01/2018","147.70","136.40","151.25","136.00","2.06M","10.22%"
"12/01/2017","134.00","137.80","137.95","134.00","2.51M","-2.40%"
"11/01/2017","137.30","135.35","142.00","135.35","1.85M","1.48%"
"10/01/2017","135.30","137.10","139.00","135.30","1.42M","-1.31%"
"09/01/2017","137.10","137.60","140.50","137.05","1.49M","-0.47%"
"08/01/2017","137.75","136.50","138.00","135.20","1.02M","0.92%"
"07/01/2017","136.50","140.25","141.00","136.00","2.31M","-2.81%"
"06/01/2017","140.45","131.50","143.00","131.30","3.37M","6.81%"
"05/01/2017","131.50","138.50","140.50","129.10","3.04M","-5.16%"
"04/01/2017","138.65","137.30","139.50","134.00","1.59M","0.98%"
"03/01/2017","137.30","146.95","146.95","136.45","1.11M","-5.41%"
"02/01/2017","145.15","152.25","152.25","138.65","2.87M","-4.82%"
"01/01/2017","152.50","140.05","162.50","140.00","4.13M","7.39%"
"12/01/2016","142.00","134.40","151.40","133.40","3.02M","6.45%"
"11/01/2016","133.40","134.90","137.50","132.40","1.74M","-0.07%"
"10/01/2016","133.50","127.55","134.95","127.25","1.36M","4.66%"
"09/01/2016","127.55","126.25","128.30","126.25","908.32K","0.83%"
"08/01/2016","126.50","127.40","129.75","126.50","1.20M","-0.59%"
"07/01/2016","127.25","118.75","127.40","118.75","1.79M","7.16%"
"06/01/2016","118.75","122.50","125.00","118.75","1.10M","-3.38%"
"05/01/2016","122.90","131.00","138.45","121.60","2.80M","-7.25%"
"04/01/2016","132.50","120.20","132.50","120.20","2.93M","10.23%"
"03/01/2016","120.20","115.10","125.00","115.00","1.83M","3.98%"
"02/01/2016","115.60","115.95","119.80","114.50","1.75M","-0.13%"
"01/01/2016","115.75","111.55","116.70","111.55","1.76M","3.67%"
"12/01/2015","111.65","116.00","116.00","107.00","3.57M","-4.16%"
"11/01/2015","116.50","110.00","116.50","110.00","1.31M","6.05%"
"10/01/2015","109.85","110.00","111.00","105.00","1.55M","-0.14%"
"09/01/2015","110.00","110.75","113.00","109.00","1.29M","-1.08%"
"08/01/2015","111.20","117.95","121.00","110.00","2.18M","-5.04%"
"07/01/2015","117.10","108.00","117.95","108.00","2.70M","8.63%"
"06/01/2015","107.80","116.95","116.95","104.80","1.88M","-7.82%"
"05/01/2015","116.95","129.00","130.00","115.00","1.05M","-9.27%"
"04/01/2015","128.90","133.45","133.65","125.05","2.52M","-3.08%"
"03/01/2015","133.00","132.20","140.00","131.00","3.62M","0.23%"
"02/01/2015","132.70","126.00","132.70","126.00","2.44M","4.53%"
"01/01/2015","126.95","113.40","130.40","113.40","3.35M","11.56%"
"12/01/2014","113.80","115.05","117.00","113.25","2.83M","-1.09%"
"11/01/2014","115.05","117.60","119.75","115.05","2.34M","-2.50%"
"10/01/2014","118.00","118.50","121.00","115.50","2.08M","-0.80%"
"09/01/2014","118.95","104.50","122.00","104.25","2.61M","13.83%"
"08/01/2014","104.50","103.20","105.95","103.00","1.11M","1.26%"
"07/01/2014","103.20","94.70","104.50","94.70","1.25M","8.63%"
"06/01/2014","95.00","98.50","98.50","94.50","2.07M","-3.55%"
"05/01/2014","98.50","99.10","102.80","95.50","1.84M","-0.56%"
"04/01/2014","99.05","99.80","102.40","99.05","1.22M","-0.95%"
"03/01/2014","100.00","100.00","102.00","99.00","983.76K","-1.96%"
"02/01/2014","102.00","97.40","102.00","95.61","1.65M","5.12%"
"01/01/2014","97.03","96.00","99.00","95.60","1.94M","1.07%"
"12/01/2013","96.00","96.00","98.60","95.50","1.99M","0.31%"
"11/01/2013","95.70","99.70","99.70","92.02","11.29M","-3.34%"
"10/01/2013","99.01","95.98","100.00","93.00","2.76M","4.22%"
"09/01/2013","95.00","89.50","97.95","89.50","1.57M","6.50%"
"08/01/2013","89.20","93.30","94.48","86.90","2.54M","-4.80%"
"07/01/2013","93.70","99.00","102.50","90.20","2.27M","-5.35%"
"06/01/2013","99.00","102.50","103.50","98.00","1.55M","-3.79%"
"05/01/2013","102.90","110.00","112.35","101.00","1.82M","-7.92%"
"04/01/2013","111.75","105.50","115.45","105.50","2.47M","5.03%"
"03/01/2013","106.40","107.20","108.00","104.50","1.40M","-1.94%"
"02/01/2013","108.50","105.00","108.50","103.20","3.32M","2.84%"
"01/01/2013","105.50","106.00","108.25","102.10","2.02M","-0.47%"
"12/01/2012","106.00","111.00","113.00","104.00","2.32M","-5.36%"
"11/01/2012","112.00","106.70","114.50","106.70","2.48M","3.70%"
"10/01/2012","108.00","103.00","117.00","92.50","4.85M","4.96%"
"09/01/2012","102.90","109.85","109.85","99.00","2.90M","-6.37%"
"08/01/2012","109.90","106.10","111.00","106.00","1.21M","1.76%"
"07/01/2012","108.00","110.90","111.60","105.00","1.66M","-2.61%"
"06/01/2012","110.90","114.50","115.00","106.30","4.31M","-1.86%"
"05/01/2012","113.00","129.00","131.00","111.15","6.96M","-12.34%"
"04/01/2012","128.90","137.80","137.80","125.50","1.49M","-5.22%"
"03/01/2012","136.00","139.35","142.00","132.70","2.09M","-2.51%"
"02/01/2012","139.50","139.50","144.00","137.65","1.95M","-0.32%"
"01/01/2012","139.95","137.80","140.80","135.10","1.37M","3.21%"
"12/01/2011","135.60","139.50","141.50","135.00","3.89M","-3.83%"
"11/01/2011","141.00","142.30","142.80","138.00","1.59M","-1.19%"
"10/01/2011","142.70","143.05","148.00","142.15","1.97M","-0.21%"
"09/01/2011","143.00","144.05","145.50","141.60","840.34K","-0.56%"
"08/01/2011","143.80","138.00","147.00","136.00","2.09M","4.09%"
"07/01/2011","138.15","143.00","145.65","137.75","979.80K","-4.06%"
"06/01/2011","144.00","149.80","149.90","142.25","2.61M","-3.19%"
"05/01/2011","148.75","153.10","157.00","144.60","2.76M","-2.17%"
"04/01/2011","152.05","155.00","159.00","152.00","2.54M","-1.87%"
"03/01/2011","154.95","159.00","159.90","154.55","2.83M","-3.10%"
"02/01/2011","159.90","155.00","159.90","151.35","3.67M","4.17%"
"01/01/2011","153.50","150.15","159.50","150.15","3.75M","2.33%"
"12/01/2010","150.00","149.00","156.00","147.25","6.07M","1.94%"
"11/01/2010","147.15","150.00","151.25","147.15","1.95M","-1.90%"
"10/01/2010","150.00","149.50","153.10","142.00","3.22M","0.47%"
"09/01/2010","149.30","145.00","150.00","145.00","2.57M","2.61%"
"08/01/2010","145.50","150.00","152.00","144.60","1.92M","-3.00%"
"07/01/2010","150.00","147.00","154.80","145.10","1.71M","2.04%"
"06/01/2010","147.00","149.00","159.95","146.50","3.90M","-2.00%"
"05/01/2010","150.00","162.25","164.40","141.75","4.00M","-7.78%"
"04/01/2010","162.65","158.50","162.65","156.10","4.21M","2.30%"
"03/01/2010","159.00","147.00","162.00","147.00","4.15M","7.43%"
"02/01/2010","148.00","146.50","150.85","145.00","1.65M","0.34%"
"01/01/2010","147.50","136.50","149.15","135.00","2.99M","8.86%"
"12/01/2009","135.50","138.40","138.50","133.00","2.88M","0.00%"
"11/01/2009","135.50","142.50","144.70","135.50","2.23M","-4.71%"
"10/01/2009","142.20","139.00","143.50","139.00","1.62M","1.57%"
"09/01/2009","140.00","142.00","142.00","133.55","2.88M","-1.30%"
"08/01/2009","141.85","143.00","146.00","140.00","2.47M","-1.49%"
"07/01/2009","144.00","151.05","152.40","144.00","1.80M","-4.67%"
"06/01/2009","151.05","145.90","158.00","141.05","2.85M","7.13%"
"05/01/2009","141.00","162.00","163.10","141.00","2.19M","-12.96%"
"04/01/2009","162.00","154.40","163.50","152.10","3.39M","5.88%"
"03/01/2009","153.00","161.80","163.80","152.00","2.30M","-4.97%"
"02/01/2009","161.00","146.80","166.50","145.25","3.11M","9.60%"
"01/01/2009","146.90","158.00","158.00","138.20","2.60M","-5.16%"
"12/01/2008","154.90","170.00","170.20","151.25","5.96M","-9.57%"
"11/01/2008","171.30","177.00","183.90","165.10","3.72M","-3.22%"
"10/01/2008","177.00","170.25","179.95","163.00","5.50M","0.85%"
"09/01/2008","175.50","183.20","186.50","165.00","5.91M","-4.15%"
"08/01/2008","183.10","186.00","190.65","181.30","2.65M","-1.40%"
"07/01/2008","185.70","188.00","191.30","185.70","3.18M","-1.22%"
"06/01/2008","188.00","194.50","197.00","186.50","2.26M","-4.47%"
"05/01/2008","196.80","199.30","213.80","185.50","5.03M","-1.13%"
"04/01/2008","199.05","197.00","202.00","194.10","7.82M","0.53%"
"03/01/2008","198.00","188.50","208.00","184.20","5.25M","6.45%"
"02/01/2008","186.00","168.10","193.50","168.10","7.13M","9.80%"
"01/01/2008","169.40","146.00","169.90","146.00","6.53M","15.63%"
"12/01/2007","146.50","146.00","148.10","145.10","18.60M","1.03%"
"11/01/2007","145.00","143.00","148.50","143.00","2.48M","0.07%"
"10/01/2007","144.90","137.80","147.60","137.80","5.77M","4.24%"
"09/01/2007","139.00","141.00","142.80","137.10","2.79M","-1.42%"
"08/01/2007","141.00","135.00","141.00","135.00","5.74M","3.75%"
"07/01/2007","135.90","132.10","136.00","130.50","3.56M","3.03%"
"06/01/2007","131.90","137.00","138.50","127.00","4.30M","-5.11%"
"05/01/2007","139.00","139.00","144.50","125.00","5.24M","0.36%"
"04/01/2007","138.50","137.80","142.50","133.00","2.92M","0.36%"
"03/01/2007","138.00","132.60","139.80","132.00","3.40M","3.76%"
"02/01/2007","133.00","133.00","134.00","129.00","2.86M","0.00%"
"01/01/2007","133.00","130.10","134.90","128.60","4.91M","2.70%"
"12/01/2006","129.50","126.50","132.00","125.90","4.95M","3.19%"
"11/01/2006","125.50","135.00","138.00","125.50","6.95M","-4.92%"
"10/01/2006","132.00","134.00","134.10","116.10","4.34M","-2.08%"
"09/01/2006","134.80","133.10","143.00","127.20","9.35M","1.74%"
"08/01/2006","132.50","113.60","135.00","113.00","6.14M","17.26%"
"07/01/2006","113.00","117.50","121.80","110.10","5.99M","-3.34%"
"06/01/2006","116.90","119.90","122.90","106.00","8.68M","-1.35%"
"05/01/2006","118.50","140.00","146.00","117.60","9.22M","-18.72%"
"04/01/2006","145.80","135.00","146.50","134.00","3.95M","7.92%"
"03/01/2006","135.10","132.50","137.20","126.00","5.95M","0.00%"
"02/01/2006","135.10","115.00","136.00","114.50","8.49M","17.48%"
"01/01/2006","115.00","100.50","115.40","100.00","6.01M","15.00%"
"12/01/2005","100.00","100.30","100.90","96.00","13.50M","-0.30%"
"11/01/2005","100.30","96.00","101.00","96.00","3.51M","4.81%"
"10/01/2005","95.70","96.10","98.00","95.50","1.83M","-0.52%"
"09/01/2005","96.20","89.56","98.60","89.30","2.94M","7.44%"
"08/01/2005","89.54","87.20","90.00","86.42","1.68M","2.57%"
"07/01/2005","87.30","83.00","89.10","82.70","3.06M","4.93%"
"06/01/2005","83.20","83.00","84.00","81.60","3.78M","-0.12%"
"05/01/2005","83.30","84.60","85.70","80.00","3.18M","-0.95%"
"04/01/2005","84.10","83.80","84.30","82.72","1.69M","1.25%"
"03/01/2005","83.06","85.04","86.00","80.54","3.00M","-2.28%"
"02/01/2005","85.00","87.00","87.60","83.20","4.51M","-1.53%"
"01/01/2005","86.32","87.00","87.98","84.00","3.39M","-0.44%"
