"Date","Price","Open","High","Low","Vol.","Change %"
"08/09/2010","317.24","317.24","317.24","315.46","0.70K","0.25%"
"08/06/2010","316.45","316.45","316.45","315.75","1.05K","0.00%"
"08/05/2010","316.45","317.24","317.24","316.45","1.92K","-0.25%"
"08/04/2010","317.24","315.95","317.44","315.95","0.58K","0.25%"
"08/03/2010","316.45","315.95","316.45","315.95","11.95K","-0.31%"
"08/02/2010","317.44","316.45","321.41","316.25","1.00K","0.31%"
"07/29/2010","316.45","317.44","317.44","316.45","2.53K","-0.31%"
"07/28/2010","317.44","317.44","317.44","315.95","1.68K","0.00%"
"07/27/2010","317.44","321.41","321.41","315.46","0.32K","0.60%"
"07/26/2010","315.56","324.39","324.39","315.56","2.27K","-0.90%"
"07/23/2010","318.43","313.27","322.20","313.27","1.59K","1.73%"
"07/22/2010","313.03","318.93","320.42","312.48","8.18K","-1.39%"
"07/21/2010","317.44","318.43","324.39","317.44","5.13K","-0.31%"
"07/20/2010","318.43","319.67","326.37","318.43","4.41K","-2.73%"
"07/19/2010","327.36","322.40","329.35","322.40","0.59K","1.54%"
"07/16/2010","322.40","328.85","328.85","322.40","0.80K","0.00%"
"07/15/2010","322.40","322.60","327.36","319.43","2.34K","-1.52%"
"07/14/2010","327.36","324.48","329.35","322.40","0.39K","-0.03%"
"07/13/2010","327.46","331.33","332.32","327.36","0.58K","-1.23%"
"07/12/2010","331.53","332.17","332.17","322.40","2.93K","2.83%"
"07/09/2010","322.40","329.89","329.89","322.40","5.53K","-2.99%"
"07/08/2010","332.32","332.32","332.32","329.84","0.18K","0.03%"
"07/07/2010","332.22","331.33","332.32","330.34","6.73K","0.84%"
"07/06/2010","329.44","329.44","329.44","329.44","0.10K","-1.16%"
"07/05/2010","333.31","335.20","336.24","328.50","0.21K","0.60%"
"07/02/2010","331.33","328.45","332.32","328.35","0.06K","-0.30%"
"07/01/2010","332.32","327.66","332.32","327.66","0.48K","0.03%"
"06/30/2010","332.22","329.35","332.32","323.59","8.60K","1.30%"
"06/29/2010","327.96","329.35","335.10","327.96","0.85K","-0.42%"
"06/28/2010","329.35","335.30","335.30","329.35","1.20K","-0.03%"
"06/25/2010","329.44","332.32","336.29","329.44","1.20K","-0.90%"
"06/24/2010","332.42","327.36","336.29","327.36","2.55K","0.03%"
"06/23/2010","332.32","332.32","332.32","323.54","0.24K","0.00%"
"06/22/2010","332.32","334.31","334.31","327.36","1.07K","0.87%"
"06/21/2010","329.44","328.35","335.69","327.36","2.60K","0.64%"
"06/18/2010","327.36","337.28","339.27","327.36","19.47K","-3.51%"
"06/17/2010","339.27","339.76","340.26","337.28","4.83K","0.00%"
"06/16/2010","339.27","339.27","343.18","339.27","0.47K","-0.29%"
"06/15/2010","340.26","342.24","342.24","337.28","12.00K","-0.58%"
"06/14/2010","342.24","342.29","345.51","342.24","0.63K","0.00%"
"06/11/2010","342.24","342.24","342.29","338.37","1.10K","0.00%"
"06/10/2010","342.24","342.24","342.29","341.25","0.81K","0.28%"
"06/09/2010","341.30","342.24","345.56","341.30","0.98K","-0.27%"
"06/08/2010","342.24","342.34","346.11","341.79","1.74K","-1.12%"
"06/07/2010","346.11","347.00","347.10","346.11","0.48K","-0.03%"
"06/04/2010","346.21","343.33","346.71","341.94","1.06K","0.87%"
"06/03/2010","343.23","341.84","346.85","341.84","0.75K","0.43%"
"06/02/2010","341.75","341.75","342.24","341.75","3.92K","-0.86%"
"06/01/2010","344.72","339.27","344.72","339.27","1.14K","1.02%"
"05/31/2010","341.25","343.23","347.00","341.25","8.83K","-0.58%"
"05/28/2010","343.23","342.24","345.22","342.24","1.11K","0.00%"
"05/27/2010","343.23","341.25","345.12","341.25","4.10K","-0.55%"
"05/26/2010","345.12","341.25","347.00","341.25","1.26K","0.84%"
"05/25/2010","342.24","346.21","347.20","339.81","7.32K","-1.43%"
"05/24/2010","347.20","348.19","348.24","347.20","7.42K","-0.28%"
"05/21/2010","348.19","347.20","353.05","347.20","2.00K","0.00%"
"05/20/2010","348.19","353.95","353.95","347.25","1.30K","-1.67%"
"05/19/2010","354.10","353.15","355.04","347.20","4.05K","1.12%"
"05/18/2010","350.18","350.67","352.66","349.98","1.82K","-0.28%"
"05/17/2010","351.17","352.16","354.05","348.19","3.18K","-1.53%"
"05/14/2010","356.63","345.22","356.63","345.22","9.30K","3.31%"
"05/13/2010","345.22","347.20","347.20","345.22","3.08K","-0.57%"
"05/12/2010","347.20","347.20","350.18","347.20","1.17K","0.00%"
"05/11/2010","347.20","345.22","347.20","340.26","4.94K","-0.68%"
"05/10/2010","349.58","343.73","350.67","343.73","0.17K","0.69%"
"05/07/2010","347.20","347.20","347.20","345.22","5.22K","0.00%"
"05/06/2010","347.20","347.70","351.17","347.20","6.95K","-1.13%"
"05/05/2010","351.17","349.19","351.17","347.70","4.74K","-0.25%"
"05/04/2010","352.06","347.70","352.06","347.70","2.73K","0.82%"
"05/03/2010","349.19","347.20","350.18","347.20","1.93K","-0.28%"
"04/30/2010","350.18","347.25","352.16","347.25","4.13K","0.86%"
"04/29/2010","347.20","350.18","352.96","347.20","5.72K","-0.31%"
"04/28/2010","348.29","352.66","352.66","347.20","10.42K","-0.54%"
"04/27/2010","350.18","351.17","352.06","347.20","14.80K","0.00%"
"04/26/2010","350.18","351.17","352.06","347.20","0.77K","-0.28%"
"04/23/2010","351.17","351.17","352.16","347.25","1.06K","1.43%"
"04/22/2010","346.21","346.21","352.16","346.21","1.00K","0.14%"
"04/21/2010","345.71","347.20","355.14","345.22","3.33K","-0.71%"
"04/20/2010","348.19","349.19","352.16","348.19","9.75K","0.00%"
"04/19/2010","348.19","359.11","365.06","348.19","13.38K","-2.15%"
"04/16/2010","355.83","342.24","357.12","341.25","33.37K","4.21%"
"04/15/2010","341.45","341.25","344.23","341.25","6.58K","-0.23%"
"04/14/2010","342.24","339.46","344.13","339.46","3.19K","0.55%"
"04/13/2010","340.36","342.24","343.73","339.27","16.08K","-1.12%"
