symbol,trade_date,price,open,high,low,volume,change_pct,source_name,scraped_at
ALLIANCES,2026-02-17,516.0,,530.0,510.0,3912.0,-1.71,medias24,2026-03-10 22:15:35.906081
ALLIANCES,2026-02-16,525.0,,542.5,518.0,59223.0,1.94,medias24,2026-03-10 22:15:35.906598
ALLIANCES,2026-02-13,515.0,,523.6,507.0,110953.0,3.31,medias24,2026-03-10 22:15:35.907106
ALLIANCES,2026-02-12,498.5,,499.0,490.0,15031.0,1.32,medias24,2026-03-10 22:15:35.907611
ATW,2026-03-09,667.9,,690.0,667.9,48497.0,-4.74,medias24,2026-03-10 22:15:42.443775
ATW,2026-03-06,701.1,,724.9,701.1,121728.0,-0.97,medias24,2026-03-10 22:15:42.443984
ATW,2026-03-05,708.0,,708.0,700.0,111544.0,3.36,medias24,2026-03-10 22:15:42.444161
ATW,2026-03-04,685.0,,720.0,685.0,187967.0,0.74,medias24,2026-03-10 22:15:42.444327
ATW,2026-03-03,680.0,,710.0,671.0,279086.0,-4.21,medias24,2026-03-10 22:15:42.444508
ATW,2026-03-02,709.9,,719.0,700.0,181538.0,-2.22,medias24,2026-03-10 22:15:42.444675
ATW,2026-02-27,726.0,,745.0,726.0,121929.0,-1.76,medias24,2026-03-10 22:15:42.444835
ATW,2026-02-26,739.0,,749.0,732.0,26960.0,-1.34,medias24,2026-03-10 22:15:42.444996
ATW,2026-02-25,749.0,,754.0,746.3,18756.0,-0.65,medias24,2026-03-10 22:15:42.445153
ATW,2026-02-24,753.9,,755.0,751.0,20481.0,-0.15,medias24,2026-03-10 22:15:42.445310
ATW,2026-02-23,755.0,,755.0,751.0,7338.0,-0.66,medias24,2026-03-10 22:15:42.445466
ATW,2026-02-20,760.0,,760.0,750.3,97472.0,0.0,medias24,2026-03-10 22:15:42.445622
ATW,2026-02-19,760.0,,760.0,750.2,143829.0,0.62,medias24,2026-03-10 22:15:42.445778
ATW,2026-02-18,755.3,,760.0,750.0,27869.0,0.04,medias24,2026-03-10 22:15:42.445932
ATW,2026-02-17,755.0,,755.0,745.2,53621.0,0.0,medias24,2026-03-10 22:15:42.446087
ATW,2026-02-16,755.0,,755.0,740.3,72012.0,0.67,medias24,2026-03-10 22:15:42.446241
ATW,2026-02-13,750.0,,755.0,740.3,112958.0,0.0,medias24,2026-03-10 22:15:42.446394
ATW,2026-02-12,750.0,,750.0,730.0,56933.0,2.74,medias24,2026-03-10 22:15:42.446547
CIH,2026-03-09,374.0,,383.0,367.0,2340.0,-1.58,medias24,2026-03-10 22:15:50.748680
CIH,2026-03-06,380.0,,392.8,374.0,19542.0,0.0,medias24,2026-03-10 22:15:50.749506
CIH,2026-03-05,380.0,,380.0,360.0,7410.0,5.03,medias24,2026-03-10 22:15:50.750040
CIH,2026-03-04,361.8,,373.0,355.0,20970.0,6.41,medias24,2026-03-10 22:15:50.750577
CIH,2026-03-03,340.0,,383.0,340.0,80453.0,-9.33,medias24,2026-03-10 22:15:50.751224
CIH,2026-03-02,375.0,,390.0,371.05,14605.0,-6.25,medias24,2026-03-10 22:15:50.751812
CIH,2026-02-27,400.0,,405.0,393.1,15232.0,-1.23,medias24,2026-03-10 22:15:50.752317
CIH,2026-02-26,405.0,,405.0,396.0,4140.0,1.76,medias24,2026-03-10 22:15:50.752823
CIH,2026-02-25,398.0,,404.7,396.1,8967.0,-0.5,medias24,2026-03-10 22:15:50.753299
CIH,2026-02-24,400.0,,405.0,395.0,17937.0,-1.23,medias24,2026-03-10 22:15:50.753766
CIH,2026-02-23,405.0,,406.9,396.05,290.0,0.0,medias24,2026-03-10 22:15:50.754219
CIH,2026-02-20,405.0,,407.85,400.0,38073.0,0.0,medias24,2026-03-10 22:15:50.754671
CIH,2026-02-19,405.0,,407.9,395.0,27859.0,0.0,medias24,2026-03-10 22:15:50.755117
CIH,2026-02-18,405.0,,407.9,402.2,30966.0,-0.71,medias24,2026-03-10 22:15:50.755565
CIH,2026-02-17,407.9,,408.5,400.0,30671.0,-0.02,medias24,2026-03-10 22:15:50.756009
CIH,2026-02-16,408.0,,408.0,396.25,15973.0,0.02,medias24,2026-03-10 22:15:50.756449
CIH,2026-02-13,407.9,,407.9,396.0,15326.0,1.97,medias24,2026-03-10 22:15:50.756888
CIH,2026-02-12,400.0,,400.0,395.0,5643.0,0.03,medias24,2026-03-10 22:15:50.757399
ADDOHA-P,2026-03-09,28.0,,29.1,27.91,331657.0,-6.67,medias24,2026-03-10 22:15:58.422913
ADDOHA-P,2026-03-06,30.0,,31.6,29.1,839892.0,-1.8,medias24,2026-03-10 22:15:58.423445
ADDOHA-P,2026-03-05,30.55,,30.55,29.3,765038.0,7.19,medias24,2026-03-10 22:15:58.424072
ADDOHA-P,2026-03-04,28.5,,28.58,26.3,454209.0,9.62,medias24,2026-03-10 22:15:58.424596
ADDOHA-P,2026-03-03,26.0,,27.5,25.01,594418.0,-5.45,medias24,2026-03-10 22:15:58.425073
ADDOHA-P,2026-03-02,27.5,,27.9,26.21,499925.0,-3.47,medias24,2026-03-10 22:15:58.425544
ADDOHA-P,2026-02-27,28.49,,29.28,28.42,625637.0,-1.72,medias24,2026-03-10 22:15:58.426109
ADDOHA-P,2026-02-26,28.99,,29.49,28.86,175552.0,-1.73,medias24,2026-03-10 22:15:58.426616
ADDOHA-P,2026-02-25,29.5,,30.45,29.22,140257.0,-2.35,medias24,2026-03-10 22:15:58.427077
ADDOHA-P,2026-02-24,30.21,,30.6,30.15,162342.0,-0.95,medias24,2026-03-10 22:15:58.427530
ADDOHA-P,2026-02-23,30.5,,31.17,30.5,85501.0,0.0,medias24,2026-03-10 22:15:58.427984
ADDOHA-P,2026-02-20,30.5,,30.5,30.1,181263.0,0.33,medias24,2026-03-10 22:15:58.428432
ADDOHA-P,2026-02-19,30.4,,31.5,30.3,127488.0,-1.94,medias24,2026-03-10 22:15:58.428876
ADDOHA-P,2026-02-18,31.0,,31.19,29.51,346466.0,3.37,medias24,2026-03-10 22:15:58.429319
ADDOHA-P,2026-02-17,29.99,,30.6,29.5,282848.0,-0.03,medias24,2026-03-10 22:15:58.429764
ADDOHA-P,2026-02-16,30.0,,30.8,29.8,1778187.0,6.38,medias24,2026-03-10 22:15:58.430204
ADDOHA-P,2026-02-13,28.2,,30.0,28.2,1208056.0,-7.24,medias24,2026-03-10 22:15:58.430645
ADDOHA-P,2026-02-12,30.4,,30.6,30.2,95877.0,0.46,medias24,2026-03-10 22:15:58.431090
IAM,2026-03-09,90.0,,92.0,90.0,164310.0,-2.71,medias24,2026-03-10 22:16:04.634613
IAM,2026-03-06,92.51,,94.97,92.5,429463.0,-1.06,medias24,2026-03-10 22:16:04.634815
IAM,2026-03-05,93.5,,94.87,92.5,614748.0,1.63,medias24,2026-03-10 22:16:04.634998
