symbol,snapshot_time,bid_price,bid_qty,ask_price,ask_qty,ordres_achat,ordres_vente,source_name
TAQA,2026-03-10 22:16:41.844555,1750.0,23.0,1895.0,560.0,3.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1742.0,10.0,1898.0,3.0,1.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1732.0,1.0,1900.0,110.0,1.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1711.0,236.0,1915.0,100.0,2.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1705.0,18.0,1917.0,10.0,2.0,1.0,medias24
TAQA,2026-03-10 22:16:41.844555,1703.0,1.0,1919.0,395.0,1.0,2.0,medias24
TAQA,2026-03-10 22:16:41.844555,1700.0,122.0,1920.0,379.0,11.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,710.0,116.0,727.0,27.0,6.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,706.0,35.0,735.0,10.0,1.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,705.5,25.0,739.0,371.0,1.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,705.0,126.0,739.7,1.0,5.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,703.0,30.0,739.8,75.0,1.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,702.0,510.0,739.9,900.0,2.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,701.0,20.0,740.0,45.0,1.0,3.0,medias24
TGCC,2026-03-10 22:16:48.117975,700.1,325.0,743.0,73.0,3.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,700.0,1538.0,744.0,10.0,29.0,1.0,medias24
TGCC,2026-03-10 22:16:48.117975,699.0,62.0,745.0,15.0,2.0,1.0,medias24
