"Date","Price","Open","High","Low","Vol.","Change %"
"12/22/2024","1,040.00","1,041.00","1,049.00","1,019.00","58.81K","-0.48%"
"12/15/2024","1,045.00","1,067.00","1,075.00","1,040.00","54.89K","-0.76%"
"12/08/2024","1,053.00","1,072.00","1,072.00","1,050.00","28.61K","-1.59%"
"12/01/2024","1,070.00","1,085.00","1,085.00","1,046.00","57.52K","-0.93%"
"11/24/2024","1,080.00","1,073.00","1,099.00","1,050.00","88.45K","0.75%"
"11/17/2024","1,072.00","1,080.00","1,100.00","1,065.00","41.04K","-0.28%"
"11/10/2024","1,075.00","1,048.00","1,125.00","1,042.00","99.87K","3.46%"
"11/03/2024","1,039.00","1,030.00","1,045.00","1,025.00","45.87K","0.87%"
"10/27/2024","1,030.00","1,034.00","1,060.00","1,030.00","37.45K","-0.48%"
"10/20/2024","1,035.00","1,040.00","1,044.00","1,008.00","70.35K","0.98%"
"10/13/2024","1,025.00","1,010.00","1,044.00","963.00","80.21K","1.49%"
"10/06/2024","1,010.00","1,025.00","1,030.00","991.00","114.70K","-1.66%"
"09/29/2024","1,027.00","1,120.00","1,129.00","980.00","161.32K","-7.48%"
"09/22/2024","1,110.00","1,008.00","1,144.00","1,008.00","163.93K","10.45%"
"09/15/2024","1,005.00","975.00","1,020.00","975.00","87.74K","2.24%"
"09/08/2024","983.00","965.00","990.00","962.00","35.69K","1.87%"
"09/01/2024","965.00","972.00","974.00","940.00","39.54K","-0.71%"
"08/25/2024","971.90","931.80","978.00","928.00","77.72K","4.06%"
"08/18/2024","934.00","920.00","934.90","916.00","22.35K","1.52%"
"08/11/2024","920.00","912.00","922.00","912.00","13.05K","0.77%"
"08/04/2024","913.00","938.00","945.00","891.00","76.94K","-2.68%"
"07/28/2024","938.10","928.00","960.00","924.00","106.97K","1.64%"
"07/21/2024","923.00","910.00","928.80","893.10","162.68K","1.75%"
"07/14/2024","907.10","920.00","923.00","841.00","356.69K","2.15%"
"07/07/2024","888.00","760.00","929.00","753.10","219.35K","15.32%"
"06/30/2024","770.00","691.00","810.00","691.00","288.94K","11.43%"
"06/23/2024","691.00","694.00","694.00","676.10","9.92K","0.14%"
"06/16/2024","690.00","682.00","693.90","681.00","78.74K","1.47%"
"06/09/2024","680.00","670.10","682.00","670.00","23.80K","1.48%"
"06/02/2024","670.10","677.80","677.80","667.10","26.19K","-0.58%"
"05/26/2024","674.00","678.00","682.00","669.00","18.54K","0.60%"
"05/19/2024","670.00","679.40","680.00","670.00","45.53K","-0.22%"
"05/12/2024","671.50","717.10","730.00","664.90","197.49K","-6.08%"
"05/05/2024","715.00","728.00","728.00","700.00","55.77K","-0.42%"
"04/28/2024","718.00","725.00","733.90","714.00","25.05K","-0.42%"
"04/21/2024","721.00","744.00","745.00","705.00","57.67K","-2.57%"
"04/14/2024","740.00","740.00","760.00","721.00","120.36K","-0.07%"
"04/07/2024","740.50","675.00","750.00","675.00","72.51K","8.90%"
"03/31/2024","680.00","677.50","681.00","670.00","42.61K","0.00%"
"03/24/2024","680.00","682.00","682.00","673.00","65.36K","0.00%"
"03/17/2024","680.00","689.00","689.00","675.20","29.76K","0.00%"
"03/10/2024","680.00","685.80","687.00","670.00","38.26K","0.00%"
"03/03/2024","680.00","698.00","699.00","660.00","34.91K","-1.45%"
"02/25/2024","690.00","696.20","719.80","690.00","73.56K","-1.15%"
